"X","subject_id","date","session","sums","sumsnosave","nosavedel","age","sex","QL1","QL2","QL3","QL4","QL5","QL6","ssum2","ssum1","osave.bf","ssave.bf","snosave.bf","BF"
175,"1127dcd3-d40d-96fb-b8c6-eb0c49abef01","2020-10-15 15:28:20",168,10,NA,1,62,"männlich",3,1,3,1,0,0,18,13,0.280049711583975,0.267706492040443,0.756359602254943,0.2426730426373429
176,"8f99890f-57f0-f9e8-7f1a-beb2ac7c6ddd","2020-10-15 15:31:17",169,10,NA,1,62,"männlich",4,0,4,5,0,3,7,10,0.279289934430424,0.266967400371178,0.709049658281253,0.2421318243633304
177,"a80825d3-e5bc-6f5f-97c6-12233609c601","2020-10-15 15:53:51",172,9,11,0,80,"männlich",5,5,2,4,1,3,6,8,0.273970143870817,0.259129384069274,0.652550675172602,0.23829752912351293
178,"bb054ddd-f589-0745-9ac8-7a2e0bcecd0f","2020-10-15 15:56:59",173,4,NA,1,84,"männlich",5,5,5,4,4,3,10,4,0.251189351746423,0.240659350131661,0.651517781475867,0.2218002567347795
179,"113df588-cd24-8534-db9d-c216dfafef7e","2020-10-15 16:10:25",175,14,NA,1,26,"weiblich",4,4,4,5,3,3,8,14,0.268632544528828,0.254404746588827,0.625377422783845,0.23445424795553257
180,"fe93336a-4c23-deac-cb7f-04b8b422cc92","2020-10-15 16:29:57",176,10,NA,1,54,"weiblich",1,4,5,5,1,6,14,10,0.267907241349244,0.253704015587562,0.674876323147905,0.23393736964283407
181,"83654217-af75-322f-8302-754ef785adc5","2020-10-15 16:41:29",177,10,NA,1,50,"männlich",6,6,6,6,6,3,8,10,0.267186892986328,0.253008161123851,0.64752214360131,0.23342406693410025
182,"cd196d4e-ea43-279a-865b-5a32fbb5d19c","2020-10-15 16:43:37",178,12,NA,1,65,"männlich",3,2,3,4,3,1,7,12,0.275736295359177,0.259624785486575,0.60972577714701,0.2396106805398963
183,"68959e79-a910-dbea-0a6c-a9be77a62880","2020-10-15 16:52:41",179,10,NA,1,33,"männlich",4,5,4,4,3,3,9,10,0.275010440676504,0.258925799354583,0.597204142337129,0.23909414081068636
184,"491b1e39-e8df-5405-842c-2930019ad4eb","2020-10-15 17:00:25",180,11,NA,1,65,"männlich",5,5,3,6,5,2,10,11,0.27898039203365,0.261915699970967,0.596206239540775,0.24196718060213102
185,"cc7cb2c1-8f61-f8a6-e3d4-855767c7b413","2020-10-15 17:00:32",181,9,10,0,52,"männlich",4,5,2,3,2,1,10,9,0.273759259406043,0.257681564258278,0.595212664933036,0.23820591210478406
186,"5b078785-cd0c-f70c-e190-b02ccaa7cf57","2020-10-15 17:02:25",183,12,10,0,76,"männlich",3,3,5,2,3,1,10,12,0.28269778360828,0.264554771045779,0.594223384474737,0.24466297281994806
187,"04ad8faa-01fd-7deb-f5bf-b886cdf36578","2020-10-15 17:03:49",185,12,12,0,61,"weiblich",4,4,4,6,3,4,12,12,0.292085230622744,0.271721603330833,0.616414214958678,0.25143137769732105
188,"348a92ce-677d-d844-15db-a5a1a234471c","2020-10-15 17:06:07",190,11,NA,1,78,"männlich",2,5,1,4,1,3,12,11,0.296496909134745,0.274998421536622,0.639821590591352,0.254611837296208
189,"38790359-8a74-4b8d-e64c-34524e1fb18b","2020-10-15 17:14:07",182,12,10,0,56,"weiblich",3,6,5,6,5,4,10,12,0.30660837187474,0.282632421844957,0.638833859083534,0.2618836988085623
190,"dcabbf49-6143-c918-4d5c-888001c1639b","2020-10-15 17:26:20",184,10,10,0,76,"weiblich",4,1,5,6,3,4,10,10,0.305861499420955,0.281920699252956,0.637850040842888,0.26135380557403587
191,"f9e178ce-4584-22c9-b5db-4fca72e23238","2020-10-15 17:32:05",186,9,10,0,21,"männlich",5,1,4,6,0,3,10,9,0.299908496768939,0.277216978236387,0.636870107729865,0.2570845420072227
192,"23870ddc-4343-7d53-61c9-3aacb0e2490e","2020-10-15 17:41:35",187,11,NA,1,70,"männlich",6,6,6,6,6,3,11,11,0.304555810400375,0.280645017537842,0.648609432640889,0.260429290272427
193,"df33d92e-9ef9-352b-6b3b-ee18de99fafc","2020-10-15 17:41:52",188,11,10,0,65,"männlich",4,3,4,4,3,3,11,10,0.309331683454398,0.279946540971027,0.660698378698514,0.26386367996582166
194,"091057e7-4d38-bb1e-48f2-603b88d7c81e","2020-10-15 17:42:55",189,9,NA,1,21,"weiblich",4,3,4,5,1,3,9,9,0.303266785659261,0.27527468839575,0.64657879296367,0.2595170504561484
195,"9abcf615-ed3f-1a7e-e400-c1970d2f68ed","2020-10-15 18:10:54",191,8,12,0,45,"männlich",3,6,6,6,3,3,12,8,0.29249543333981,0.267043401150563,0.671958965045645,0.251783800179545
196,"a6527f8e-62c4-357d-cd9b-4879b935db5f","2020-10-15 18:33:38",192,10,9,0,72,"männlich",6,6,3,5,4,5,9,10,0.29178931273967,0.266375882423962,0.657499496706339,0.2512832899648935
197,"ef5e1585-2955-1a4f-0d90-227599555648","2020-10-15 19:49:04",193,8,11,0,34,"weiblich",4,1,4,4,1,0,11,8,0.281601243727964,0.258520865753757,0.669918517668003,0.2439564947832773
198,"ef49d7bd-a546-9f88-d6a8-e0629ae5846f","2020-10-15 19:50:24",194,9,NA,1,57,"weiblich",3,4,4,4,3,0,6,9,0.276281727633855,0.254335101780638,0.616950256605142,0.2401291326848956
199,"e2f9cc17-0a38-84f9-6602-fbd2825c36c5","2020-10-15 21:29:28",195,14,12,0,70,"weiblich",3,4,4,5,3,5,12,14,0.296582209637143,0.269621441468063,0.640689470352469,0.25475081520770115
200,"aa4a011a-c331-b354-680e-3661707f3de2","2020-10-16 10:17:58",200,8,NA,1,39,"weiblich",6,2,1,6,5,1,10,8,0.286193337004091,0.261642938280175,0.639740818134071,0.24728713874718847
201,"832763fd-2745-5695-05e9-540c7370e92f","2020-10-16 11:05:36",244,14,10,0,63,"weiblich",5,3,3,5,3,1,10,14,0.307366358482082,0.277494257207522,0.63879573110596,0.2625065601152743
202,"4e29c144-29fe-faa5-0b50-f6025fc6e796","2020-10-16 11:05:58",243,14,NA,1,61,"weiblich",3,3,3,3,3,3,11,14,0.330621079009355,0.294668328531485,0.650731080167497,0.2791677117312519
203,"13d8cde1-d8f1-cc47-faf5-faf3b1c31633","2020-10-16 11:07:29",245,11,6,0,65,"männlich",0,0,2,5,5,2,5,11,0.336012325650691,0.298482584759278,0.58815482261974406,0.283028174533
204,"557d5d55-7bc5-5747-5f41-6a562b32b587","2020-10-16 11:08:27",246,10,NA,1,71,"weiblich",3,5,6,6,4,3,10,10,0.335275043575943,0.297793547287939,0.58723388692558,0.2825063125295109
205,"385ea9dc-58c8-a792-7cc8-9e75faca960e","2020-10-16 11:09:18",247,8,NA,1,57,"weiblich",4,4,4,4,4,1,12,8,0.32293223475829,0.288596346837952,0.60938377593416,0.27368415151615805
206,"e33ad877-3d0c-c85c-1863-ef118460f2a5","2020-10-16 11:09:27",248,9,NA,1,47,"männlich",6,6,5,6,5,4,11,9,0.316582760800616,0.28376149960739,0.620481689655742,0.26914512124926665
207,"74315697-37c0-bc27-1383-611aa6c7fe45","2020-10-16 11:10:39",201,9,NA,1,71,"männlich",3,4,3,4,1,3,12,9,0.310401976448297,0.279035356071066,0.644492959933395,0.2647242256847446
208,"03cc91e2-0f15-7e32-eef6-a6e7713ec015","2020-10-16 11:11:10",202,7,NA,1,40,"weiblich",4,4,4,5,2,4,16,7,0.294621768823002,0.267104454090733,0.724814361132508,0.25340983344928275
209,"775e5c2c-5815-b46a-7c38-6b75a30196fe","2020-10-16 11:11:19",203,14,10,0,59,"weiblich",5,3,4,5,4,2,10,14,0.316425063562449,0.283365108340999,0.72388391913229,0.26905213349891943
210,"f80c2557-b09a-de22-2e43-12277de34da0","2020-10-16 11:12:49",204,10,12,0,23,"weiblich",4,2,4,4,2,3,12,10,0.31573053649154,0.282715017676022,0.753477058137977,0.26856163601669364
211,"a3e1c601-e7cf-07f8-c315-f1caaaf429d3","2020-10-16 11:13:07",206,11,NA,1,64,"männlich",3,3,3,3,3,3,11,9,0.320761546732034,0.278031196721641,0.768556421049191,0.27216903421344013
212,"3d2102d0-25ea-c6a9-03c4-350a3812e802","2020-10-16 11:13:33",205,8,9,0,60,"weiblich",6,6,3,6,3,3,9,8,0.309226530441027,0.269716002905259,0.751434025173122,0.2639173420805814
213,"e7f2828b-75d8-4763-d09f-b5d973eebb73","2020-10-16 11:13:50",207,9,NA,1,46,"weiblich",5,5,5,5,3,0,10,9,0.303280663995487,0.265328358743679,0.750514068944425,0.2596627307817014
214,"30269739-21fe-4aaf-042d-a00dd020eeeb","2020-10-16 11:15:46",208,12,12,0,56,"männlich",3,4,4,4,3,1,12,12,0.313717110306398,0.27267668518426,0.781808252455191,0.2671478797297918
215,"159fd899-47c7-78b0-bd8d-efb44097b950","2020-10-16 11:16:04",209,7,12,0,NA,"männlich",4,3,3,4,2,2,12,7,0.2977247248314,0.261149292852723,0.814952709374603,0.2556922746633593
216,"db8ed285-888f-7270-ac91-e5a55e5c4157","2020-10-16 11:16:08",210,5,NA,1,42,"weiblich",4,3,4,5,3,1,10,5,0.274949049698899,0.244544226300779,0.814043207679631,0.23931765701229663
217,"295e1981-94dd-438c-0a94-2e75908be37d","2020-10-16 11:17:13",211,13,NA,1,22,"männlich",0,0,1,0,5,3,7,13,0.288962799160507,0.254738510554481,0.76117409708814,0.2494150777175514
